dataset,model,scorer,base_config_id,config_id,feature_label,feature_atom,feature_family,n_queries,mean_delta,median_delta,useful_rate,harmed_rate,stable_rate
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,42,reason.verify,reasoning_verify_before_output,reasoning,4337,0.018215356237030206,0.0,0.08854046575974175,0.07032510952271155,0.8411344247175467
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,34,ser.html,table_serialization_html,serialization,4293,0.019333799208013043,0.0,0.10645236431399953,0.08711856510598649,0.806429070580014
wtq,Qwen/Qwen2.5-7B-Instruct,denotation_acc,31,33,ser.records,table_serialization_json_records,serialization,4291,0.022838499184339316,0.0,0.11792123048240503,0.09508273129806571,0.7869960382195292
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,49,ctx.stats,input_context_column_statistics,input_context,2265,-0.003532008830022075,0.0,0.06975717439293598,0.07328918322295806,0.856953642384106
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,50,ctx.type,input_context_type_annotation,input_context,2265,0.004856512141280353,0.0,0.0423841059602649,0.037527593818984545,0.9200883002207505
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,46,format.json,prompt_format_json,format,2265,0.008388520971302429,0.0,0.08520971302428255,0.07682119205298013,0.8379690949227373
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,58,reason.critique_revise,reasoning_critique_then_revise,reasoning,2265,0.0,0.0,0.047240618101545256,0.047240618101545256,0.9055187637969095
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,103,reason.decompose,reasoning_decompose_subtasks,reasoning,2265,0.011037527593818985,0.0,0.0640176600441501,0.052980132450331126,0.8830022075055187
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,53,reason.enumerate,reasoning_candidate_enumeration,reasoning,2265,0.02163355408388521,0.0,0.08256070640176601,0.060927152317880796,0.8565121412803532
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,52,reason.evidence_localize,reasoning_evidence_localization,reasoning,2265,0.008830022075055188,0.0,0.06578366445916115,0.05695364238410596,0.8772626931567329
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,54,reason.evidence_table,reasoning_intermediate_evidence_table,reasoning,2265,0.015894039735099338,0.0,0.07858719646799117,0.06269315673289183,0.8587196467991169
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,51,reason.extract_compute,reasoning_extract_then_compute,reasoning,2265,0.017660044150110375,0.0,0.07240618101545254,0.05474613686534217,0.8728476821192053
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,57,reason.plan_answer,reasoning_plan_then_answer,reasoning,2265,-0.012362030905077263,0.0,0.07108167770419425,0.08344370860927153,0.8454746136865342
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,55,reason.symbolic_op,reasoning_symbolic_operation,reasoning,2265,0.015011037527593819,0.0,0.0869757174392936,0.07196467991169977,0.8410596026490066
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,56,reason.verify,reasoning_verify_before_output,reasoning,2265,0.0075055187637969095,0.0,0.06490066225165562,0.05739514348785872,0.8777041942604856
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,48,ser.html,table_serialization_html,serialization,2265,0.0008830022075055188,0.0,0.06975717439293598,0.06887417218543046,0.8613686534216336
sqa,Qwen/Qwen2.5-7B-Instruct,denotation_acc,45,47,ser.records,table_serialization_json_records,serialization,2265,0.011037527593818985,0.0,0.08123620309050773,0.07019867549668875,0.8485651214128035
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,63,ctx.stats,input_context_column_statistics,input_context,836,-0.00018117259097882618,0.0,0.12440191387559808,0.13995215311004786,0.7356459330143541
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,64,ctx.type,input_context_type_annotation,input_context,836,0.0011033027695468648,0.0,0.10885167464114832,0.11124401913875598,0.7799043062200957
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,60,format.json,prompt_format_json,format,836,-0.02234248439524381,0.0,0.11363636363636363,0.1471291866028708,0.7392344497607656
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,72,reason.critique_revise,reasoning_critique_then_revise,reasoning,836,-0.0005991956149821298,0.0,0.11483253588516747,0.11483253588516747,0.7703349282296651
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,104,reason.decompose,reasoning_decompose_subtasks,reasoning,836,0.01497912044937311,0.0,0.13875598086124402,0.11961722488038277,0.7416267942583732
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,67,reason.enumerate,reasoning_candidate_enumeration,reasoning,836,0.010842565024329374,0.0,0.12440191387559808,0.11004784688995216,0.7655502392344498
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,66,reason.evidence_localize,reasoning_evidence_localization,reasoning,836,0.0029998818428325666,0.0,0.12200956937799043,0.11722488038277512,0.7607655502392344
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,68,reason.evidence_table,reasoning_intermediate_evidence_table,reasoning,836,-0.005167176433534556,0.0,0.13636363636363635,0.13157894736842105,0.7320574162679426
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,65,reason.extract_compute,reasoning_extract_then_compute,reasoning,836,0.021136659782264915,0.0,0.1423444976076555,0.10167464114832536,0.7559808612440191
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,71,reason.plan_answer,reasoning_plan_then_answer,reasoning,836,-0.0025728773954542296,0.0,0.13995215311004786,0.13277511961722488,0.7272727272727273
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,69,reason.symbolic_op,reasoning_symbolic_operation,reasoning,836,-0.0708133553960264,0.0,0.10047846889952153,0.18899521531100477,0.7105263157894737
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,70,reason.verify,reasoning_verify_before_output,reasoning,836,0.0011600625399588599,0.0,0.11363636363636363,0.11842105263157894,0.7679425837320574
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,62,ser.html,table_serialization_html,serialization,836,-0.004558232944690679,0.0,0.12200956937799043,0.1339712918660287,0.7440191387559809
tablebench,Qwen/Qwen2.5-7B-Instruct,tb_official_acc,59,61,ser.records,table_serialization_json_records,serialization,836,0.019401565792087176,0.0,0.13995215311004786,0.11842105263157894,0.7416267942583732
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,78,ctx.stats,input_context_column_statistics,input_context,12792,0.008520950594121326,0.0,0.08732020012507817,0.07879924953095685,0.833880550343965
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,79,ctx.type,input_context_type_annotation,input_context,12792,0.002892432770481551,0.0,0.055347091932457786,0.05245465916197623,0.892198248905566
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,75,format.json,prompt_format_json,format,12792,-0.00398686679174484,0.0,0.08958724202626642,0.09357410881801126,0.8168386491557224
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,87,reason.critique_revise,reasoning_critique_then_revise,reasoning,12792,0.010944340212632896,0.0,0.07958098811757348,0.06863664790494059,0.851782363977486
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,105,reason.decompose,reasoning_decompose_subtasks,reasoning,12792,0.010318949343339587,0.0,0.08130081300813008,0.07098186366479049,0.8477173233270794
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,82,reason.enumerate,reasoning_candidate_enumeration,reasoning,12792,0.00992808005003127,0.0,0.08411507191994996,0.0741869918699187,0.8416979362101313
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,81,reason.evidence_localize,reasoning_evidence_localization,reasoning,12792,0.006801125703564728,0.0,0.07786116322701689,0.07106003752345216,0.851078799249531
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,83,reason.evidence_table,reasoning_intermediate_evidence_table,reasoning,12792,0.0021106941838649157,0.0,0.09083802376485303,0.08872732958098811,0.8204346466541589
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,80,reason.extract_compute,reasoning_extract_then_compute,reasoning,12792,0.015322076297686053,0.0,0.09490306441525953,0.07958098811757348,0.8255159474671669
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,86,reason.plan_answer,reasoning_plan_then_answer,reasoning,12792,-0.01813633520950594,0.0,0.09842088805503439,0.11655722326454034,0.7850218886804252
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,84,reason.symbolic_op,reasoning_symbolic_operation,reasoning,12792,0.0015634771732332708,0.0,0.09677923702313947,0.0952157598499062,0.8080050031269543
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,85,reason.verify,reasoning_verify_before_output,reasoning,12792,0.007113821138211382,0.0,0.07575046904315197,0.06863664790494059,0.8556128830519074
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,77,ser.html,table_serialization_html,serialization,12792,0.022435897435897436,0.0,0.09662288930581614,0.0741869918699187,0.8291901188242652
tab_fact,Qwen/Qwen2.5-7B-Instruct,fv_acc,74,76,ser.records,table_serialization_json_records,serialization,12792,0.029627892432770482,0.0,0.10318949343339587,0.07356160100062539,0.8232489055659787
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,92,ctx.stats,input_context_column_statistics,input_context,1584,-0.017676767676767676,0.0,0.08585858585858586,0.10353535353535354,0.8106060606060606
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,93,ctx.type,input_context_type_annotation,input_context,1584,0.0025252525252525255,0.0,0.05176767676767677,0.04924242424242424,0.898989898989899
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,89,format.json,prompt_format_json,format,1584,-0.02904040404040404,0.0,0.08207070707070707,0.1111111111111111,0.8068181818181818
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,101,reason.critique_revise,reasoning_critique_then_revise,reasoning,1584,-0.01452020202020202,0.0,0.05303030303030303,0.06755050505050506,0.8794191919191919
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,106,reason.decompose,reasoning_decompose_subtasks,reasoning,1584,-0.010101010101010102,0.0,0.06628787878787878,0.0763888888888889,0.8573232323232324
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,96,reason.enumerate,reasoning_candidate_enumeration,reasoning,1584,-0.008207070707070708,0.0,0.07828282828282829,0.08648989898989899,0.8352272727272727
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,95,reason.evidence_localize,reasoning_evidence_localization,reasoning,1584,-0.0031565656565656565,0.0,0.06186868686868687,0.06502525252525253,0.8731060606060606
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,97,reason.evidence_table,reasoning_intermediate_evidence_table,reasoning,1584,-0.010732323232323232,0.0,0.07512626262626262,0.08585858585858586,0.8390151515151515
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,94,reason.extract_compute,reasoning_extract_then_compute,reasoning,1584,-0.010101010101010102,0.0,0.07133838383838384,0.08143939393939394,0.8472222222222222
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,100,reason.plan_answer,reasoning_plan_then_answer,reasoning,1584,-0.03598484848484849,0.0,0.07196969696969698,0.10795454545454546,0.8200757575757576
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,98,reason.symbolic_op,reasoning_symbolic_operation,reasoning,1584,-0.011363636363636364,0.0,0.0707070707070707,0.08207070707070707,0.8472222222222222
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,99,reason.verify,reasoning_verify_before_output,reasoning,1584,0.005050505050505051,0.0,0.07007575757575757,0.06502525252525253,0.86489898989899
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,91,ser.html,table_serialization_html,serialization,1584,0.01452020202020202,0.0,0.09659090909090909,0.08207070707070707,0.8213383838383839
hitab,Qwen/Qwen2.5-7B-Instruct,denotation_acc,88,90,ser.records,table_serialization_json_records,serialization,1583,0.032217308907138344,0.0,0.11686670878079596,0.08464939987365762,0.7984838913455464
